sub_centres_per_100k,phcs_per_100k,chcs_per_100k,sub_divisional_hospital_per_100k,district_hospital_per_100k,population
-0.16170174055141653,-0.11161977905215427,0.055333223296108076,-0.012292026492847516,0.04730575025723924,-0.034325502800345985
0.21587767972372693,0.05052190633354758,0.07932984614571073,0.017070835053385674,0.12337680121026687,0.21418970990151842
-0.1179464048291026,-0.0791464923456562,-0.03823494203794723,-0.0030570276760415517,0.04755999024065033,-0.06728587470471135
-0.11365029191591063,-0.07884385003795344,-0.04367832532325014,-0.002383252165187998,0.04712652820028571,-0.06319941725364928
-0.10211954792433554,-0.05837661102828489,0.011197906339470742,0.006044701350373248,-0.06819790252089633,-0.05479800550912854
-0.07494789840966412,-0.04517821074914815,-0.031954746361677965,0.004994100050535206,-0.06555626274240986,-0.05421830204555829
-0.10207829330117736,-0.06531232879699261,0.014566044430158635,0.0031213809141137903,-0.06654928828937534,-0.019530704408258385
-0.14505715046197326,-0.10401409190762242,0.023249853969756637,-0.010255927019402788,0.052015601223057636,-0.07510758233485046
-0.11846359360946075,-0.08581000179799053,-0.04390486209885695,-0.003162367062086295,0.0452153667519439,-0.04791548834155279
-0.09561204340796443,-0.05095444551084554,-0.024516691852291186,0.005253279908092388,-0.039384780635220044,-0.06147997209302744
-0.15009362944666343,-0.11019378155224402,0.04714961198528979,-0.01143984255965683,0.05228704672484733,-0.07180547616598558
-0.1152545856191668,-0.07854280394701026,0.04614171091688753,-0.0032035954870840567,-0.028324980104893194,-0.06935091933724843
-0.14505271761589147,-0.10522643254220045,0.044531781912922744,-0.01807448478981255,0.05184322523004621,-0.0721174432094773
-0.1437158857733156,-0.10307514456202208,0.014440142958870543,-0.009180560907491874,0.05075635640414431,-0.07467991893693428
0.19242919851985987,0.08499063757743104,0.037472440873831954,0.0037238762261986584,0.14467493290460048,0.21428495810857418
0.2572761169975875,-0.0777151034889171,0.03950261466344565,0.028049104499769786,0.11094790526113164,0.23672247394862675
0.2072158696661412,0.07188313659373657,0.07197912870247385,0.020118242174867774,0.13889951070080492,0.2037284547212497
0.20779424257618423,0.07604981980066135,0.07076488975632383,0.023388559971359767,0.13321894296577086,0.20296503034611696
-0.12218886345973134,-0.07851307081653705,-0.04708124473643542,-0.0031800064507878254,0.041796197001361404,-0.0483969908221672
0.13119972507121141,0.09401948408669718,0.04659569504755579,0.0024169124991041957,0.1535280389468105,0.11552575241906843
0.06432387708780714,0.013774923621548816,-0.11325061747016116,0.020760727564382277,0.1188649960781418,0.11868080755693777
-0.11605123608824276,-0.008874117452264432,-0.04806633520512899,-0.01098189637424339,0.0662478108101732,-0.07008342125609708
-0.12800646031165494,-0.02811348879901237,-0.046744490016755624,-0.0009555659350797922,0.04345757948865563,-0.07270647621958508
-0.10579095420543605,-0.08396586542963391,-0.0243740532957591,0.05945178096328934,0.05653615379572236,-0.06200804334090229
-0.11747810349284754,-0.010774529259091585,-0.041717713254327896,-0.01106846662525203,0.06806626691520003,-0.07040437379220837
-0.06962192114225828,-0.0051269801780512,-0.034425682248618084,-0.0033601396112738972,-0.0648465925123029,-0.06230057640107233
0.12363514138737877,-0.03624091513632587,-0.05773819326376137,-0.007957234694842172,0.08640430790114412,-0.050638625748684406
-0.055977313986076055,-0.04479679508789337,-0.028962399403155963,-0.0007318517465526043,-0.06572143005476443,-0.05300486331281411
-0.1082417482630019,-0.07950507482039128,-0.04156405747935206,-0.0022557641815285105,0.048023200519007644,-0.06550959356450979
-0.12058050209602189,0.04590425770755546,-0.06354697275342577,-0.008501847897814272,0.07716296822509756,-0.0573635130506427
0.22891676929127325,0.11062873822624393,0.04356096082883215,0.0009910276104945048,0.1638931387403685,-0.07966566044712033
-0.08779411067598565,-0.05116596568947653,-0.0367318741206003,-0.001854025411182339,-0.02590600051296493,-0.06074267718104656
-0.12843165566001663,-0.019226308866005955,-0.051252800901567794,-0.01827689047769737,0.04576273980923936,-0.05618866720635099
-0.08678009416758413,-0.07018905034790505,-0.03827203470575611,0.06917364558816827,0.0402000299271578,-0.03713095776286022
-0.08692738707928917,-0.045368458118897906,-0.03872883263941785,0.043541412433465286,-0.03429798180765659,-0.061515787331840995
0.1343072134452828,0.02857181262942265,-0.020627502034225528,-0.011059124884874292,0.1171508951053815,-0.05745486910230632
-0.09488994280643673,-0.015442159687720709,-0.036320330593621684,0.0009605163443947054,-0.04176869291315171,-0.0689236633894215
-0.13074712181473425,0.03976499491133836,-0.057886450892857516,-0.019536834066203906,0.08267501952666885,-0.07500475228096418
-0.09856863723879698,-0.08365334006853803,-0.03643439859060771,0.060224705575996844,0.055509568859907016,-0.059722927669728476
-0.11829548466305966,-0.018049335636907672,-0.046191874157165976,-0.013160706104005484,0.035766849789133213,-0.070662618420694
0.21583191430026713,0.10213520226800298,0.05507902788560085,0.0026725419807528215,0.15368834688587177,0.011060579083145611
-0.15958650512138972,0.05654787811079622,-0.03828778913264111,-0.016832473345496195,0.05698711519664226,-0.08239093173393268
-0.10696253648796536,-0.013204245650874406,-0.03281528162026151,-0.0009862454393335502,-0.02208093255920937,-0.0724366796399616
-0.13275723393398847,-0.014633757558540884,-0.03965708661202147,-0.005388776312598077,0.07039888959127792,-0.08032704992075146
0.18710761599993056,0.06821654035653614,0.045476847669559076,0.010185849576821152,0.1566911731449683,0.12999628838515176
0.20231699478467646,0.07520347750308227,-0.06531588320543454,0.007979140313501045,0.14852483839521105,-0.04670696839191106
