state,district,sub_centres,phcs,chcs,sub_divisional_hospital,district_hospital,year
Karnataka,Vijayapura,311,66,9,4,0,2020-21
Karnataka,Yadgir,169,44,6,2,1,2020-21
Maharashtra,Ahmednagar,565,106,23,2,1,2020-21
Maharashtra,Akola,179,42,5,1,0,2020-21
Maharashtra,Amravati,339,75,10,4,1,2020-21
Maharashtra,Aurangabad,279,73,10,3,1,2020-21
Maharashtra,Beed,297,57,10,3,1,2020-21
Maharashtra,Bhandara,193,34,7,2,1,2020-21
Maharashtra,Buldhana,280,58,12,1,2,2020-21
Maharashtra,Chandrapur,339,67,10,3,0,2020-21
Maharashtra,Dhule,232,47,5,2,1,2020-21
Maharashtra,Gadchiroli,376,48,9,3,1,2020-21
Maharashtra,Gondia,258,41,10,1,0,2020-21
Maharashtra,Hingoli,132,27,3,2,1,2020-21
Maharashtra,Jalgaon,443,95,17,3,0,2020-21
Maharashtra,Jalna,218,44,9,1,1,2020-21
Maharashtra,Kolhapur,413,92,18,4,0,2020-21
Maharashtra,Latur,252,56,10,1,0,2020-21
Maharashtra,Mumbai,0,37,0,0,0,2020-21
Maharashtra,Mumbai Suburban,0,97,0,0,0,2020-21
Maharashtra,Nagpur,316,84,10,2,0,2020-21
Maharashtra,Nanded,379,76,13,4,1,2020-21
Maharashtra,Nandurbar,293,61,12,2,0,2020-21
Maharashtra,Nashik,592,153,24,6,1,2020-21
Maharashtra,Osmanabad,211,46,6,4,1,2020-21
Maharashtra,Palghar,314,69,13,3,0,2020-21
Maharashtra,Parbhani,215,38,6,2,1,2020-21
Maharashtra,Pune,545,192,40,5,1,2020-21
Maharashtra,Raigad,288,60,8,6,1,2020-21
Maharashtra,Ratnagiri,378,70,8,3,1,2020-21
Maharashtra,Sangli,320,70,15,2,0,2020-21
Maharashtra,Satara,401,76,15,2,1,2020-21
Maharashtra,Sindhudurg,248,38,7,3,1,2020-21
Maharashtra,Solapur,427,95,16,3,0,2020-21
Maharashtra,Thane,176,138,13,3,1,2020-21
Maharashtra,Wardha,181,32,8,2,1,2020-21
Maharashtra,Washim,150,27,6,1,1,2020-21
Maharashtra,Yavatmal,444,69,14,3,0,2020-21
Rajasthan,Ajmer,370,84,25,2,2,2020-21
Rajasthan,Alwar,699,130,40,1,1,2020-21
Rajasthan,Banswara,455,58,22,0,1,2020-21
Rajasthan,Baran,263,52,14,0,1,2020-21
Rajasthan,Barmer,729,105,26,1,1,2020-21
Rajasthan,Bharatpur,396,73,22,1,1,2020-21
Rajasthan,Bhilwara,524,82,27,1,0,2020-21
Rajasthan,Bikaner,421,70,18,0,0,2020-21
Rajasthan,Bundi,206,32,14,0,1,2020-21
Rajasthan,Chittorgarh,383,52,24,1,1,2020-21
Rajasthan,Churu,436,99,16,2,1,2020-21
Rajasthan,Dausa,313,48,17,0,1,2020-21
Rajasthan,Dholpur,233,34,7,1,1,2020-21
