state,district,sub_centres,phcs,chcs,sub_divisional_hospital,district_hospital,year,lgd_matched_name,district_census2011_code,match_type,population
Uttar Pradesh,Gonda,322,52,16,0,2,2019-20,Gonda,183,exact,3433919
Uttar Pradesh,Gorakhpur,529,91,9,0,2,2019-20,Gorakhpur,188,exact,4440895
Uttar Pradesh,Hamirpur,214,40,4,0,2,2019-20,Hamirpur,168,exact,1104285
Uttar Pradesh,Hapur,176,26,4,0,0,2019-20,Hapur,000,exact,
Uttar Pradesh,Hardoi,433,62,8,0,2,2019-20,Hardoi,155,exact,4092845
Uttar Pradesh,Hathras,194,27,7,0,2,2019-20,Hathras,144,exact,1564708
Uttar Pradesh,Jalaun,286,41,7,0,2,2019-20,Jalaun,165,exact,1689974
Uttar Pradesh,Jaunpur,507,83,22,0,2,2019-20,Jaunpur,194,exact,4494204
Uttar Pradesh,Jhansi,338,49,8,0,2,2019-20,Jhansi,166,exact,1998603
Uttar Pradesh,Jyotiba Phule Nagar,175,32,8,0,2,2019-20,Amroha,137,crosswalk,1840221
Uttar Pradesh,Kannauj,191,34,11,0,2,2019-20,Kannauj,160,exact,1656616
Uttar Pradesh,Kanpur Dehat,240,31,8,0,2,2019-20,Kanpur Dehat,163,exact,1796184
Uttar Pradesh,Kanpur Nagar,390,90,10,0,5,2019-20,Kanpur Nagar,164,exact,4581268
Uttar Pradesh,Kashi Ram Nagar,170,31,7,0,1,2019-20,Kasganj,202,crosswalk,1436719
Uttar Pradesh,Kaushambi,175,36,5,0,1,2019-20,Kaushambi,174,exact,1599596
Uttar Pradesh,Kushinagar,368,57,16,0,1,2019-20,Kushinagar,189,exact,3564544
Uttar Pradesh,Lakhimpur Kheri,386,60,14,0,2,2019-20,Kheri,153,crosswalk,4021243
Uttar Pradesh,Lalitpur,197,27,4,0,2,2019-20,Lalitpur,167,exact,1221592
Uttar Pradesh,Lucknow,306,80,17,0,9,2019-20,Lucknow,157,exact,4589838
Uttar Pradesh,Maharajganj,291,40,12,0,1,2019-20,Mahrajganj,187,fuzzy,2684703
Uttar Pradesh,Mahoba,150,17,4,0,2,2019-20,Mahoba,169,exact,875958
Uttar Pradesh,Mainpuri,206,46,10,0,2,2019-20,Mainpuri,148,exact,1868529
Uttar Pradesh,Mathura,205,37,7,0,3,2019-20,Mathura,145,exact,2547184
Uttar Pradesh,Maunathbhanjan,225,43,6,0,2,2019-20,Mau,192,crosswalk,2205968
Uttar Pradesh,Meerut,280,57,12,0,2,2019-20,Meerut,138,exact,3443689
Uttar Pradesh,Mirzapur,263,38,16,0,2,2019-20,Mirzapur,199,exact,2496970
Uttar Pradesh,Moradabad,267,60,7,0,2,2019-20,Moradabad,135,exact,4772006
Uttar Pradesh,Muzaffarnagar,286,49,4,0,2,2019-20,Muzaffarnagar,133,exact,4143512
Uttar Pradesh,Pilibhit,199,28,6,0,2,2019-20,Pilibhit,151,exact,2031007
Uttar Pradesh,Pratapgarh,355,60,19,0,2,2019-20,Pratapgarh,173,exact,3209141
Uttar Pradesh,Rae Bareli,352,51,17,0,2,2019-20,Rae Bareli,158,exact,3405559
Uttar Pradesh,Rampur,211,35,5,0,2,2019-20,Rampur,136,exact,2335819
Uttar Pradesh,Saharanpur,364,62,14,0,2,2019-20,Saharanpur,132,exact,3466382
Uttar Pradesh,Sambhal,214,31,9,0,1,2019-20,Sambhal,000,exact,
Uttar Pradesh,Sant Kabir Nagar,185,23,4,0,1,2019-20,Sant Kabir Nagar,186,exact,1715183
Uttar Pradesh,Sant Ravidas Nagar,161,17,6,0,2,2019-20,Bhadohi,198,crosswalk,1578213
Uttar Pradesh,Shahjahanpur,298,46,17,0,2,2019-20,Shahjahanpur,152,exact,3006538
Uttar Pradesh,Shamli,135,26,7,0,0,2019-20,Shamli,000,exact,
Uttar Pradesh,Shrawasti,125,12,6,0,1,2019-20,Shrawasti,181,exact,1117361
Uttar Pradesh,Siddharth Nagar,278,65,8,0,1,2019-20,Siddharthnagar,184,fuzzy,2559297
Uttar Pradesh,Sitapur,471,67,18,0,2,2019-20,Sitapur,154,exact,4483992
Uttar Pradesh,Sonbhadra,173,31,7,0,2,2019-20,Sonbhadra,200,exact,1862559
Uttar Pradesh,Sultanpur,244,42,13,0,2,2019-20,Sultanpur,179,exact,3797117
Uttar Pradesh,Unnav,357,54,7,0,2,2019-20,Unnao,156,fuzzy,3108367
Uttar Pradesh,Varanasi,320,51,12,0,4,2019-20,Varanasi,197,exact,3676841
Karnataka,Bagalkot,233,55,8,5,0,2020-21,Bagalkote,556,fuzzy,1889752
Karnataka,Ballari,350,92,13,7,1,2020-21,Ballari,565,exact,2452595
Karnataka,Belagavi,621,153,16,9,1,2020-21,Belagavi,555,exact,4779661
Karnataka,Bengaluru Rural,199,50,2,4,0,2020-21,Bengaluru Rural,583,exact,990923
Karnataka,Bengaluru Urban,279,203,11,4,0,2020-21,Bengaluru Urban,572,exact,9621551
Karnataka,Bidar,275,58,8,4,1,2020-21,Bidar,558,exact,1703300
Karnataka,Chamarajanagar,255,62,3,3,0,2020-21,Chamarajanagara,578,fuzzy,1020791
Karnataka,Chikballapur,203,61,2,5,1,2020-21,Chikkaballapura,582,fuzzy,1255104
Karnataka,Chikkamagaluru,367,91,5,6,1,2020-21,Chikkamagaluru,570,exact,1137961
Karnataka,Chitradurga,343,86,11,5,1,2020-21,Chitradurga,566,exact,1659456
Karnataka,Dakshin Kannad,430,77,8,4,2,2020-21,Dakshina Kannada,575,fuzzy,2089649
Karnataka,Davangere,268,90,4,4,0,2020-21,Davangere,567,exact,1945497
Karnataka,Dharwad,185,53,0,3,0,2020-21,Dharwad,562,exact,1847023
Karnataka,Gadag,190,42,2,4,2,2020-21,Gadag,561,exact,1064570
Karnataka,Hassan,486,138,15,7,0,2020-21,Hassan,574,exact,1776421
Karnataka,Haveri,310,72,5,6,1,2020-21,Haveri,564,exact,1597668
Karnataka,Kalaburagi,335,102,16,6,0,2020-21,Kalaburagi,579,exact,2566326
Karnataka,Kodagu,196,30,7,2,1,2020-21,Kodagu,576,exact,554519
Karnataka,Kolar,266,68,2,5,0,2020-21,Kolar,581,exact,1536401
Karnataka,Koppal,176,48,9,3,1,2020-21,Koppal,560,exact,1389920
Karnataka,Mandya,410,116,10,6,0,2020-21,Mandya,573,exact,1805769
Karnataka,Mysuru,510,147,10,6,3,2020-21,Mysuru,577,exact,3001127
Karnataka,Raichur,213,57,6,4,1,2020-21,Raichur,559,exact,1928812
Karnataka,Ramanagara,252,65,4,3,0,2020-21,Ramanagara,584,exact,1082636
Karnataka,Shivamogga,357,108,7,7,1,2020-21,Shivamogga,568,exact,1752753
Karnataka,Tumakuru,572,150,4,10,1,2020-21,Tumakuru,571,exact,2678980
Karnataka,Udupi,336,62,6,2,1,2020-21,Udupi,569,exact,1177361
Karnataka,Uttar Kannad,344,85,3,10,1,2020-21,Uttara Kannada,563,fuzzy,1437169
Karnataka,Vijayapura,311,66,9,4,0,2020-21,Vijayapura,557,exact,2177331
Karnataka,Yadgir,169,44,6,2,1,2020-21,Yadgir,580,exact,1174271
Maharashtra,Ahmednagar,565,106,23,2,1,2020-21,Ahmednagar,522,exact,4543159
Maharashtra,Akola,179,42,5,1,0,2020-21,Akola,501,exact,1813906
Maharashtra,Amravati,339,75,10,4,1,2020-21,Amravati,503,exact,2888445
Maharashtra,Aurangabad,279,73,10,3,1,2020-21,Chhatrapati Sambhajinagar,515,crosswalk,3701282
Maharashtra,Beed,297,57,10,3,1,2020-21,Beed,523,exact,2585049
Maharashtra,Bhandara,193,34,7,2,1,2020-21,Bhandara,506,exact,1200334
Maharashtra,Buldhana,280,58,12,1,2,2020-21,Buldhana,500,exact,2586258
Maharashtra,Chandrapur,339,67,10,3,0,2020-21,Chandrapur,509,exact,2204307
Maharashtra,Dhule,232,47,5,2,1,2020-21,Dhule,498,exact,2050862
Maharashtra,Gadchiroli,376,48,9,3,1,2020-21,Gadchiroli,508,exact,1072942
